ACT_STAT,CENSUS_NUM,CARSHIP,NAME,NAME_DBA,ICC_DOCKET_1_PREFIX,ICC1,ICC_DOCKET_2_PREFIX,ICC2,ICC_DOCKET_3_PREFIX,ICC3,MAI_STR,MAI_CITY,MAI_ST,MAI_ZIP,PHY_STR,PHY_CITY,PHY_ST,PHY_ZIP,EMAILADDRESS,TEL_NUM,OWNTRUCK
A,1374826,C,TIM TYREE,TIM TYREE TOOLS,,,,,,,7160 N P R 130 W,BRAZIL,IN,47834,7160 N P R 130 W,BRAZIL,IN,47834,,8124489834,1
A,1375524,C,DONALD R PATE,PATES,MC,524675,,,,,515 JO ANN DR,ODENTON,MD,21113,515 JO ANN DR,ODENTON,MD,21113,,4102924095,1
A,1383876,S,FARROW AND BALL LTD,FARROW AND BALL CANADA LTD,,,,,,,310 JUDSON ST   UNIT 11,TORONTO,ON,M8Z 5T6,310 JUDSON ST   UNIT 11,TORONTO,ON,M8Z 5T6,,4162531882,0
A,1409266,C,NORTH AMERICA CONSTRUCTION CO INC,,,,,,,,PO BOX 54,ATTICA,NY,14011,1417 ALLEGHANY ROAD,ATTICA,NY,14011,ONORTHAMERICAC@ROCHESTER.RR.COM,5855913148,1
A,1415550,C,PAUL WATERS,WESTSIDE FEED,,,,,,,9007 103RD STREET,JACKSONVILLE,FL,32210,RT 3 BOX 55A,LAKE BUTLER,FL,32054,,9047715070,0
A,1418363,C,MARK D KOONTZ,GROUNDWORKS CONSTRUCTION,,,,,,,3037 N GREENBRIAR RD,MADISON,IN,47250,3443 CLIFTY DRIVE,MADISON,IN,47250,groundworksconstruction@yahoo.com,8122734724,3
A,1431017,C,GARY L KALISH,,,,,,,,10202 KOKAMONJO,VIOLA,WI,54664,10202 KOKAMONJO,VIOLA,WI,54664,,6085383307,0
A,1448046,C,MATHEWS GRADING AND EXCAVATION,,,,,,,,794 WOLF CREEK RD,MINERAL BLUFF,GA,30559,794 WOLF CREEK RD,MINERAL BLUFF,GA,30559,brianemathews01@gmail.com,7064555219,0
A,1452734,C,FELICIANO FLORES,,,,,,,,5066 20TH PLACE SW,NAPLES,FL,34116,5066 20TH PLACE SW,NAPLES,FL,34116,,2394175382,1
A,2007868,C,3D TREE CARE LLC,,,,,,,,1005 COLLYER,LONGMONT,CO,80501,1005 COLLYER,LONGMONT,CO,80501,,7203526774,1
A,2055387,C,LAZARO CASTANEDA,A L E CLEANING SERVICE,,,,,,,3714 DAWES DR,DALLAS,TX,75211,3714 DAWES DR,DALLAS,TX,75211,A_L_E_CLEANINGSERVICE@YAHOO.COM,2143313345,8
A,2078089,C,AARON T INGEBRITSON,,,,,,,,28121 HIGHWAY 65,HUBBARD,IA,50122,28121 HIGHWAY 65,HUBBARD,IA,50122,AINGE1120@HOTMAIL.COM,6418642590,0
A,2094583,C,YORK COLLEGE OF PA,,,,,,,,441 COUNTRY CLUB ROAD,YORK,PA,17403,441 COUNTRY CLUB ROAD,YORK,PA,17405,tlanglet@ycp.edu,7178151403,0
A,2109040,C,HOMEWOOD AT MARTINSBURG PA INC,,,,,,,,437 GIVLER DRIVE,MARTINSBURG,PA,16662,437 GIVLER DRIVE,MARTINSBURG,PA,16662,,8147933728,0
A,2110781,C,LINEA 3 CORP,MARILENA IMPORTS DLUSSO DESIGNS,,,,,,,630 CORPORATE WAY UNIT 2,VALLEY COTTAGE,NY,10989,630 CORPORATE WAY UNIT 2,VALLEY COTTAGE,NY,10989,DLUSSODESIGNS@AOL.COM,8452673710,1
A,2176230,C,AGRICULTURAL TRACTOR SERVICES INC,,,,,,,,PO BOX 3627,FORT PIERCE,FL,34948,400 CYCLONE DRIVE,FORT PIERCE,FL,34945,DGRSJIM@BELLSOUTH.NET,7722164971,1
A,2217727,B,UNIQUE ADVENTURES INC,,MC,130481,,,,,620 S.W. FIFTH AVE.,PORTLAND,OR,97204,7200 S.W. GABLE PARKWAY,PORTLAND,OR,97225,,,0
A,2453821,C,JABERGS HVAC INC,JABERGS HEATING COOLING AND ELEC,,,,,,,3197 S 400 W,PERU,IN,46970,3197 S 400 W,PERU,IN,46970,,7654722088,1
